ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
11:14:58,5581,37134,4,5334,8292,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws533/pv603|client#9204:ws3975/pv6692
11:15:09,5566,37152,4,5340,8293,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws533/pv603|client#9204:ws3981/pv6693
11:15:19,5473,37249,4,5367,8320,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws534/pv605|client#9204:ws4007/pv6718
11:15:30,5535,37155,4,5327,8280,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws534/pv605|client#9204:ws3967/pv6678
11:15:40,5550,37124,4,5335,8287,gradle#18952:ws726/pv799|gradle#47752:ws100/pv198|gradle#47240:ws540/pv611|client#9204:ws3969/pv6679
11:15:51,5751,37183,4,5310,8282,gradle#18952:ws708/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws3970/pv6683
11:16:01,5634,37335,4,5461,8437,gradle#18952:ws708/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws4121/pv6838
11:16:12,5656,37279,4,5467,8443,gradle#18952:ws708/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws4127/pv6844
11:16:22,5692,37282,4,5455,8461,gradle#18952:ws708/pv799|gradle#47752:ws100/pv197|gradle#47240:ws532/pv602|client#9204:ws4115/pv6863
11:16:33,4440,38532,4,6684,9684,gradle#18952:ws708/pv799|gradle#47752:ws100/pv197|gradle#47240:ws532/pv602|client#9204:ws5344/pv8086
11:16:43,4358,38691,4,6705,9779,gradle#18952:ws708/pv799|gradle#47752:ws100/pv198|gradle#47240:ws532/pv602|client#9204:ws5365/pv8180
11:16:54,4372,38651,4,6712,9745,gradle#18952:ws708/pv799|gradle#47752:ws100/pv198|gradle#47240:ws531/pv600|client#9204:ws5373/pv8148
11:17:04,4367,38630,4,6717,9734,gradle#18952:ws708/pv799|gradle#47752:ws101/pv197|gradle#47240:ws531/pv601|client#9204:ws5377/pv8137
11:17:15,4385,38629,4,6715,9729,gradle#18952:ws708/pv799|gradle#47752:ws101/pv197|gradle#47240:ws531/pv600|client#9204:ws5375/pv8133
11:17:25,4229,38758,4,6719,9735,gradle#18952:ws708/pv799|gradle#47752:ws101/pv197|gradle#47240:ws533/pv603|client#9204:ws5377/pv8136
11:17:36,4251,38731,4,6719,9734,gradle#18952:ws708/pv799|gradle#47752:ws101/pv197|gradle#47240:ws533/pv603|client#9204:ws5377/pv8135
11:17:46,4228,38763,4,6719,9734,gradle#18952:ws708/pv799|gradle#47752:ws101/pv197|gradle#47240:ws533/pv603|client#9204:ws5377/pv8135
11:17:57,4205,38793,4,6719,9736,gradle#18952:ws708/pv799|gradle#47752:ws101/pv198|gradle#47240:ws533/pv603|client#9204:ws5377/pv8136
11:18:07,4188,38817,4,6812,9815,gradle#18952:ws708/pv799|gradle#47752:ws101/pv198|gradle#47240:ws533/pv603|client#9204:ws5470/pv8215
11:18:18,4412,38523,4,6726,9729,gradle#18952:ws708/pv799|gradle#47752:ws101/pv198|gradle#47240:ws533/pv603|client#9204:ws5384/pv8129
11:18:28,4415,38534,4,6726,9728,gradle#18952:ws708/pv799|gradle#47752:ws101/pv198|gradle#47240:ws533/pv603|client#9204:ws5384/pv8128
11:18:39,4240,38720,4,6727,9730,gradle#18952:ws708/pv799|gradle#47752:ws101/pv198|gradle#47240:ws534/pv604|client#9204:ws5384/pv8129
11:18:50,4260,38728,4,6728,9730,gradle#18952:ws708/pv799|gradle#47752:ws101/pv198|gradle#47240:ws534/pv604|client#9204:ws5385/pv8129
11:19:00,3895,39060,4,7080,10065,gradle#18952:ws708/pv799|gradle#47752:ws101/pv198|gradle#47240:ws534/pv604|client#9204:ws5737/pv8464
