ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
17:46:00.938,2340,8001,55,100,1,52.21,P0,0x0000000000000000
17:46:02.049,2340,8001,56,100,2,50.31,P0,0x0000000000000000
17:46:03.182,2340,8001,57,100,2,64.52,P0,0x0000000000000000
17:46:04.343,2340,8001,59,100,2,64.93,P0,0x0000000000000000
17:46:05.477,2340,8001,59,100,2,65.23,P0,0x0000000000000000
17:46:06.583,2340,8001,59,100,2,64.79,P0,0x0000000000000000
17:46:07.713,2340,8001,59,100,2,66.18,P0,0x0000000000000000
17:46:08.826,2340,8001,58,100,2,69.07,P0,0x0000000000000000
17:46:09.936,2340,8001,61,100,2,76.17,P0,0x0000000000000000
17:46:11.066,2340,8001,62,100,2,75.79,P0,0x0000000000000000
17:46:12.307,2340,8001,63,100,2,75.54,P0,0x0000000000000000
17:46:13.503,2340,8001,63,100,2,75.96,P0,0x0000000000000000
17:46:14.627,2340,8001,63,100,2,76.39,P0,0x0000000000000000
17:46:15.758,2340,8001,63,100,2,76.23,P0,0x0000000000000000
17:46:16.889,2340,8001,61,100,2,72.30,P0,0x0000000000000000
17:46:18.027,2340,8001,61,100,1,58.07,P0,0x0000000000000000
17:46:19.135,2340,8001,60,100,1,55.10,P0,0x0000000000000000
17:46:20.260,2340,8001,60,100,1,51.92,P0,0x0000000000000000
17:46:21.394,2340,8001,58,100,1,56.45,P0,0x0000000000000000
17:46:22.507,2340,8001,59,100,2,55.30,P0,0x0000000000000000
17:46:23.638,2340,8001,55,22,1,28.36,P0,0x0000000000000000
17:46:24.794,2340,8001,58,100,1,49.78,P0,0x0000000000000000
17:46:25.925,2340,8001,58,100,1,48.70,P0,0x0000000000000000
17:46:27.126,2340,8001,57,100,1,48.68,P0,0x0000000000000000
17:46:28.487,2340,8001,58,100,1,47.53,P0,0x0000000000000000
17:46:29.627,2340,8001,58,100,2,50.05,P0,0x0000000000000000
17:46:30.751,2340,8001,58,65,1,47.34,P0,0x0000000000000000
17:46:31.858,2340,8001,58,100,1,47.83,P0,0x0000000000000000
17:46:33.015,2340,8001,58,100,2,48.86,P0,0x0000000000000000
17:46:34.142,2340,8001,57,100,2,47.32,P0,0x0000000000000000
17:46:35.256,2340,8001,58,100,2,46.67,P0,0x0000000000000000
17:46:36.377,2340,8001,56,100,2,46.95,P0,0x0000000000000000
17:46:37.498,2340,8001,56,100,2,46.19,P0,0x0000000000000000
17:46:38.629,2340,8001,57,100,1,44.32,P0,0x0000000000000000
17:46:39.765,2340,8001,59,100,1,52.48,P0,0x0000000000000000
17:46:40.897,2340,8001,60,100,1,52.72,P0,0x0000000000000000
17:46:42.110,2340,8001,58,100,1,53.73,P0,0x0000000000000000
17:46:43.247,2340,8001,57,100,1,52.86,P0,0x0000000000000000
17:46:44.414,2340,8001,59,100,1,53.54,P0,0x0000000000000000
17:46:45.555,2340,8001,57,29,1,49.86,P0,0x0000000000000000
17:46:46.796,2340,8001,57,100,1,53.49,P0,0x0000000000000000
17:46:47.928,2340,8001,59,100,1,54.18,P0,0x0000000000000000
17:46:49.053,2340,8001,57,100,1,53.41,P0,0x0000000000000000
17:46:50.178,2340,8001,58,100,2,53.62,P0,0x0000000000000000
17:46:51.312,2340,8001,59,100,2,53.34,P0,0x0000000000000000
17:46:52.413,2340,8001,55,79,1,49.88,P0,0x0000000000000000
17:46:53.525,2340,8001,58,100,1,51.63,P0,0x0000000000000000
17:46:54.634,2340,8001,58,100,2,46.74,P0,0x0000000000000000
17:46:55.740,2340,8001,56,100,2,52.39,P0,0x0000000000000000
17:46:56.853,2340,8001,57,100,2,51.35,P0,0x0000000000000000
17:46:58.028,2340,8001,58,100,1,50.18,P0,0x0000000000000000
17:46:59.139,2340,8001,57,100,2,51.96,P0,0x0000000000000000
17:47:00.251,2340,8001,58,100,2,51.36,P0,0x0000000000000000
17:47:01.361,2340,8001,56,100,2,37.33,P0,0x0000000000000000
17:47:02.470,2340,8001,57,100,1,49.70,P0,0x0000000000000000
17:47:03.576,2340,8001,56,100,1,53.68,P0,0x0000000000000000
17:47:04.683,2340,8001,57,100,1,62.42,P0,0x0000000000000000
17:47:05.793,2340,8001,56,100,2,50.02,P0,0x0000000000000000
17:47:06.884,2340,8001,56,100,1,51.66,P0,0x0000000000000000
